TAXON_ID,SCIENTIFIC_NAME,COMMON_NAME,AUTHORITY,PRIMARY_DISCIPLINE,ALL_DISCIPLINE_CODES,ORIGIN,TREATIES,SHORT_NAME,TAXON_LEVEL_CDE,PARENT_TAXON_ID,PARENT_TAXON_LEVEL_CDE,TAXON_TYPE,NVIS_GROWTHFORM,FFG_ACT_STATUS,EPBC_ACT_STATUS,VIC_ADVISORY_STATUS,SCIENTIFIC_NME_SYNONYM,COMMON_NME_SYNONYM,RESTRICTED_FLAG,PRINT_ORDER_NUM,LAST_MOD,EXTRACT_DATE
1695,Engaeus phyllocercus,Narracan Burrowing Crayfish,"Smith & Schuster, 1913",Aquatic fauna,[ai][tf][af],,,eng phy,spec,1673,gen,"Mussels, decopod crustacea",,Listed,,Endangered,Engaeus phyllocerus,,rest,,20121107,14/10/2016
1691,Engaeus quadrimanus,Lowland Burrowing Crayfish,"Clark, 1936",Aquatic fauna,[tf][ai][af],,,eng qua,spec,1673,gen,"Mussels, decopod crustacea",,,,,"Engaeus marmoratus, Engaeus marmarostus",Lowland Burrowing Crayfish,,,20121107,14/10/2016
1683,Engaeus rostrogaleatus,Strzelecki Burrowing Crayfish,"Horwitz, 1990",Aquatic fauna,[ai][tf][af],,,eng ros,spec,1673,gen,"Mussels, decopod crustacea",,Listed,,Endangered,,,rest,,20121107,14/10/2016
1692,Engaeus sericatus,Hairy Burrowing Crayfish,"Clark, 1936",Aquatic fauna,[tf][af][ai],,,eng ser,spec,1673,gen,"Mussels, decopod crustacea",,,,Vulnerable,,,rest,,20131218,14/10/2016
1693,Engaeus sternalis,Warragul Burrowing Crayfish,"(Clark, 1936)",Aquatic fauna,[ai][tf][af],,,eng ste,spec,1673,gen,"Mussels, decopod crustacea",,Listed,,Critically endangered,Pseudoengaeus sternalis,,rest,,20121107,14/10/2016
1690,Engaeus strictifrons,Portland Burrowing Crayfish,"(Clark, 1936)",Aquatic fauna,[tf][ai][af],,,eng str,spec,1673,gen,"Mussels, decopod crustacea",,,,Vulnerable,Pseudoengaeus strictifrons,,rest,,20131218,14/10/2016
1689,Engaeus tuberculatus,Tubercle Burrowing Crayfish,"Clark, 1936",Aquatic fauna,[af][ai][tf],,,eng tub,spec,1673,gen,"Mussels, decopod crustacea",,,,Endangered,Engaeus connectus,Tubercle Burrowing Crayfish,,,20131218,14/10/2016
1685,Engaeus urostrictus,Dandenong Burrowing Crayfish,"Riek, 1969",Aquatic fauna,[ai][af][tf],,,eng uro,spec,1673,gen,"Mussels, decopod crustacea",,Listed,,Critically endangered,,,rest,,20121107,14/10/2016
1688,Engaeus victoriensis,Foothill Burrowing Crayfish,"Smith & Schuster, 1913",Aquatic fauna,[af][ai][tf],,,eng vic,spec,1673,gen,"Mussels, decopod crustacea",,,,Endangered,Engaeus victoriensis,Foothill Burrowing Crayfish,,,20131218,14/10/2016
4720,Epigonichthys australis,Deepwater Lancelet,"(Raff, 1912)",Aquatic fauna,[af],,,,spec,4744,gen,,,,,,,,,,20160408,14/10/2016
4721,Epigonichthys bassanus,Southern Lancelet,"(Gunther, 1884)",Aquatic fauna,[af],,,,spec,4744,gen,,,,,,,,,,20160408,14/10/2016
4722,Eptatretus cirrhatus,Broadgilled Hagfish,"(Forster, 1801)",Aquatic fauna,[af],,,,spec,4745,gen,,,,,,,,,,20160408,14/10/2016
4731,Eptatretus longipinnis,Longfin Hagfish,"Strahan, 1975",Aquatic fauna,[af],,,,spec,4745,gen,,,,,,,,,,20160408,14/10/2016
903418,Etrumeus acuminatus,Maray,"Gilbert, 1890",Aquatic fauna,[ma][af][ai],,,,spec,903416,gen,Fish,,,,,Etrumeus teres,"Red-eye Round Herring, Round Herring",,,20141009,14/10/2016
1647,Euastacus armatus,Murray Spiny Crayfish,"(von Martens, 1866)",Aquatic fauna,[ai][af][tf],,,Eua arm,spec,1631,gen,"Mussels, decopod crustacea",,Listed,,Near threatened,,,,,20131213,14/10/2016
1633,Euastacus bidawalus,East Gippsland Spiny Crayfish,"Morgan, 1986",Aquatic fauna,[af][ai][tf],,,eua bid,spec,1631,gen,"Mussels, decopod crustacea",,,,Vulnerable,,Bidhawal Spiny Crayfish,rest,,20131218,14/10/2016
1646,Euastacus bispinosus,Glenelg Spiny Crayfish,"Clark, 1941",Aquatic fauna,[ai][af][tf],,,Eua bis,spec,1631,gen,"Mussels, decopod crustacea",,Listed,Endangered,Endangered,"Euastacus nobilis kershawi, Euastacus bispinosus",Glenelg Spiny Crayfish,,,20161013,14/10/2016
1643,Euastacus claytoni,Claytons Spiny Crayfish,"Riek, 1969",Aquatic fauna,[af][ai][tf],,,eua cla,spec,1631,gen,"Mussels, decopod crustacea",,,,Vulnerable,,,rest,,20131218,14/10/2016
1634,Euastacus crassus,Alpine Spiny Crayfish,"Riek, 1951",Aquatic fauna,[ai][tf][af],,,,spec,1631,gen,"Mussels, decopod crustacea",,Listed,,Endangered,Euastacus nobilis crassus,,rest,,20121107,14/10/2016
1635,Euastacus diversus,Orbost Spiny Crayfish,"Riek, 1969",Aquatic fauna,[ai][tf][af],,,eua div,spec,1631,gen,"Mussels, decopod crustacea",,Listed,,Endangered,,,,,20131218,14/10/2016
1636,Euastacus kershawi,Gippsland Spiny Crayfish,"(Smith, 1912)",Aquatic fauna,[ai][tf][af],,,eua ker,spec,1631,gen,"Mussels, decopod crustacea",,Rejected,,,"Astacopsis kershawi, Euastacus nobilis kershawi",,,,20140212,14/10/2016
1637,Euastacus neodiversus,South Gippsland Spiny Crayfish,"Riek, 1969",Aquatic fauna,[af][ai][tf],,,eua neo,spec,1631,gen,"Mussels, decopod crustacea",,Listed,,Endangered,"Euastacus neodiversus, Euastacus nobilis kershawi, Euastacus nobilis ",South Gippsland Spiny Crayfish,,,20131217,14/10/2016
1638,Euastacus woiwuru,Central Highlands Spiny Crayfish,"Morgan, 1986",Aquatic fauna,[af][ai][tf],,,eua woi,spec,1631,gen,"Mussels, decopod crustacea",,,,,Euastacus woiwuru,Central Victorian Spiny Crayfish,,,20120828,14/10/2016
1644,Euastacus yanga,Variable Spiny Crayfish,"Morgan, 1997",Aquatic fauna,[tf][ai][af],,,eua yan,spec,1631,gen,"Mussels, decopod crustacea",,,,Vulnerable,,,,,20121107,14/10/2016
1645,Euastacus yarraensis,Southern Victorian Spiny Crayfish,"(McCoy, 1888)",Aquatic fauna,[tf][af][ai],,,eua yar,spec,1631,gen,"Mussels, decopod crustacea",,,,,"Astacopsis serratus yarraensis, Euastacus nobilis , Astacopsis serratus, Euastacus nobilis kershawi",Yarra Spiny Crayfish,,,20131218,14/10/2016
